xi,v2_xi,absF,reF,imF
176,4,4.982461734693801e-06,-4.801977368639514e-06,1.3288861082733497e-06
177,0,4.982461734693855e-06,-4.799933233921345e-06,1.3362506829131558e-06
178,1,4.982461734693855e-06,-4.7978778044965695e-06,1.343612113226014e-06
179,0,4.982461734693855e-06,-4.795811085201863e-06,1.3509703818897817e-06
180,2,4.982461734693854e-06,-4.7937330809004164e-06,1.3583254715897424e-06
181,0,4.982461734693854e-06,-4.791643796481974e-06,1.3656773650186593e-06
182,1,4.982461734693854e-06,-4.7895432368628235e-06,1.3730260448768174e-06
183,0,4.9824617346938534e-06,-4.787431406985785e-06,1.380371493872063e-06
184,3,4.9824617346938e-06,-4.785308311820147e-06,1.3877136947198295e-06
185,0,4.982461734693853e-06,-4.783173956361912e-06,1.3950526301432548e-06
186,1,4.9824617346938534e-06,-4.78102834563327e-06,1.4023882828730694e-06
187,0,4.982461734693853e-06,-4.778871484683101e-06,1.4097206356477892e-06
188,2,4.982461734693853e-06,-4.776703378586709e-06,1.4170496712136798e-06
189,0,4.982461734693853e-06,-4.774524032445855e-06,1.4243753723248122e-06
190,1,4.982461734693853e-06,-4.772333451388752e-06,1.4316977217431042e-06
191,0,4.982461734693853e-06,-4.770131640570049e-06,1.4390167022383605e-06
192,6,4.9824617346935815e-06,-4.7679186051705596e-06,1.4463322965882346e-06
193,0,4.982461734693852e-06,-4.765694350398548e-06,1.4536444875786616e-06
194,1,4.982461734693851e-06,-4.763458881487122e-06,1.4609532580031145e-06
195,0,4.982461734693851e-06,-4.761212203696817e-06,1.4682585906634283e-06
196,2,4.982461734693851e-06,-4.758954322314282e-06,1.4755604683694504e-06
197,0,4.98246173469385e-06,-4.756685242652529e-06,1.4828588739391571e-06
198,1,4.98246173469385e-06,-4.7544049700509225e-06,1.4901537901986947e-06
199,0,4.98246173469385e-06,-4.752113509875165e-06,1.4974451999824208e-06
200,3,4.982461734693796e-06,-4.74981086751723e-06,1.5047330861329276e-06
201,0,4.98246173469385e-06,-4.7474970483956145e-06,1.5120174315011639e-06
202,1,4.982461734693849e-06,-4.7451720579548014e-06,1.5192982189463123e-06
203,0,4.98246173469385e-06,-4.7428359016657715e-06,1.526575431335993e-06
204,2,4.982461734693849e-06,-4.7404885850257246e-06,1.5338490515462225e-06
205,0,4.982461734693848e-06,-4.7381301135581234e-06,1.54111906246147e-06
